Measurand,Depth,Optimized Sensitivity,Vanilla Sensitivity,Improvement,Epochs
abs,5,51.982242584228516,41.55412292480469,25.095270758798822,43
abs,10,51.15517807006836,39.877872467041016,28.27960697338609,46
abs,15,51.92531204223633,39.57373809814453,31.211542143073206,46
abs,20,52.15196228027344,39.788002014160156,31.074594451144016,47
abs,25,52.38762664794922,39.70120620727539,31.954748111277777,56
m1,5,7.257487943945762e-10,1.1348037176617254e-08,-93.60463150499729,380
m1,10,1.0960364171808124e-08,1.2268238869239667e-08,-10.660655627685868,21
m1,15,1.1021495716079244e-08,1.2340632515872585e-08,-10.689377534714373,21
m1,20,1.1124380527860467e-08,1.2492633594263225e-08,-10.952478963531574,21
m1,25,1.0993792542990377e-08,1.2344627542404396e-08,-10.942695474398358,21
V,5,8.355522626872156e-14,5.2563435917231394e-14,58.9607391729322,412
V,10,9.632794778849374e-14,5.87564597128408e-14,63.944438210326624,432
V,15,1.0061110202342488e-13,5.922134527561185e-14,69.88992998248875,428
V,20,1.038156106220045e-13,6.103312842099806e-14,70.09714774228647,429
V,25,1.0065404998198246e-13,5.944003563006575e-14,69.33712928508068,426
