Measurand,Depth (mm),Window
abs,5,"[0.0706709548830986, 0.16431035101413727, 0.2890264689922333, 0.4219399392604828, 0.3947862982749939, 0.3702488839626312, 0.3331131637096405, 0.30934950709342957, 0.2561698853969574, 0.20756922662258148, 0.17469434440135956, 0.14157608151435852, 0.09169255197048187, 0.08781203627586365, 0.07911328971385956, 0.07374699413776398, 0.07162576913833618, 0.07044874131679535, 0.06980860978364944, 0.06916414946317673]"
abs,10,"[0.0875168964266777, 0.25784435868263245, 0.43024128675460815, 0.4139859974384308, 0.41782185435295105, 0.35971200466156006, 0.2888484597206116, 0.2417900115251541, 0.19391867518424988, 0.1671038568019867, 0.10517008602619171, 0.08780644088983536, 0.08162552118301392, 0.07264985144138336, 0.06970106065273285, 0.06803788989782333, 0.06722822785377502, 0.06691442430019379, 0.06602375954389572, 0.06646940112113953]"
abs,15,"[0.08739330619573593, 0.275325745344162, 0.463043749332428, 0.4110172390937805, 0.42624399065971375, 0.3588881492614746, 0.24760068953037262, 0.22979813814163208, 0.17379750311374664, 0.16236397624015808, 0.09252908825874329, 0.07693445682525635, 0.07455047219991684, 0.06973112374544144, 0.06856318563222885, 0.06818661093711853, 0.06737919896841049, 0.06663573533296585, 0.06675276160240173, 0.06603547185659409]"
abs,20,"[0.07897572964429855, 0.2989622950553894, 0.44445890188217163, 0.4077633321285248, 0.4282764196395874, 0.3482414186000824, 0.2711957097053528, 0.23586365580558777, 0.17858892679214478, 0.15168339014053345, 0.10118717700242996, 0.07739558815956116, 0.07177416235208511, 0.0681687518954277, 0.06671429425477982, 0.06644141674041748, 0.06562957912683487, 0.06526737660169601, 0.06485117971897125, 0.06427287310361862]"
abs,25,"[0.0934663861989975, 0.323574423789978, 0.4830358624458313, 0.400302529335022, 0.39216911792755127, 0.3450401723384857, 0.2625496983528137, 0.24053263664245605, 0.16409717500209808, 0.14687952399253845, 0.09384169429540634, 0.07736221700906754, 0.06741528958082199, 0.06306672841310501, 0.06126408651471138, 0.0614476352930069, 0.0603216178715229, 0.05929815024137497, 0.059028368443250656, 0.05811106786131859]"
m1,5,"[4.6887511416571215e-05, 6.638940976699814e-05, 7.189634197857231e-05, 7.458309846697375e-05, 7.400858157780021e-05, 7.369922968791798e-05, 7.006533996900544e-05, 6.586554081877694e-05, 5.239715756033547e-05, 6.515798304462805e-05, 8.659769810037687e-05, 0.00017039437079802155, 0.0002004231937462464, 0.0005006256396882236, 0.0006217320915311575, 0.0009492972167208791, 0.0025742717552930117, 0.008337038569152355, 0.012136698700487614, 0.9998874068260193]"
m1,10,"[0.2570139467716217, 0.17128720879554749, 0.17151927947998047, 0.17153440415859222, 0.17150506377220154, 0.17141951620578766, 0.17146913707256317, 0.1711140275001526, 0.17109951376914978, 0.19578878581523895, 0.25603851675987244, 0.25667721033096313, 0.2569274306297302, 0.2571117877960205, 0.25718873739242554, 0.2572411894798279, 0.25727578997612, 0.2572789490222931, 0.25732657313346863, 0.2572872042655945]"
m1,15,"[0.25371861457824707, 0.1688052862882614, 0.16907073557376862, 0.16907712817192078, 0.1690463125705719, 0.16878829896450043, 0.16883248090744019, 0.16805580258369446, 0.1682031899690628, 0.2521283030509949, 0.25353458523750305, 0.25371304154396057, 0.25377002358436584, 0.2538587749004364, 0.25391685962677, 0.25387635827064514, 0.2538755536079407, 0.2539161443710327, 0.2539066970348358, 0.2539093792438507]"
m1,20,"[0.2537218928337097, 0.16884881258010864, 0.16895905137062073, 0.16896820068359375, 0.16894014179706573, 0.16872991621494293, 0.16884826123714447, 0.1679808795452118, 0.1683383733034134, 0.2530553638935089, 0.2533631920814514, 0.25359269976615906, 0.25371092557907104, 0.25377410650253296, 0.25388631224632263, 0.253817081451416, 0.2538281977176666, 0.253863662481308, 0.25383976101875305, 0.2538522779941559]"
m1,25,"[0.2535874545574188, 0.16889478266239166, 0.16907203197479248, 0.16892172396183014, 0.16890683770179749, 0.1686512976884842, 0.16857387125492096, 0.1680789738893509, 0.16815145313739777, 0.25314658880233765, 0.2535054087638855, 0.25363099575042725, 0.253760427236557, 0.2537819445133209, 0.25384506583213806, 0.25382116436958313, 0.25385454297065735, 0.25388213992118835, 0.2538595497608185, 0.25387144088745117]"
V,5,"[0.08546978235244751, 0.10062334686517715, 0.22127051651477814, 0.3468993604183197, 0.3613155782222748, 0.37001919746398926, 0.360755980014801, 0.35402756929397583, 0.29793691635131836, 0.2387930303812027, 0.20440350472927094, 0.16734442114830017, 0.1235479936003685, 0.11122781783342361, 0.09719991683959961, 0.09008336812257767, 0.08745518326759338, 0.08613456040620804, 0.08539149910211563, 0.08482437580823898]"
V,10,"[0.08536765724420547, 0.1667315661907196, 0.3224272131919861, 0.3588452637195587, 0.39811545610427856, 0.38618212938308716, 0.34687167406082153, 0.29507017135620117, 0.24633274972438812, 0.21649718284606934, 0.16258768737316132, 0.1373845636844635, 0.11972345411777496, 0.09328842163085938, 0.08687703311443329, 0.08393775671720505, 0.08263356238603592, 0.0819600373506546, 0.08112595975399017, 0.08091896772384644]"
V,15,"[0.0853458046913147, 0.18890325725078583, 0.3548103868961334, 0.36771267652511597, 0.4150841534137726, 0.3960786461830139, 0.3046181797981262, 0.28842875361442566, 0.22506074607372284, 0.2159210592508316, 0.15079182386398315, 0.11053553223609924, 0.10107538849115372, 0.08770012855529785, 0.08495552837848663, 0.08377813547849655, 0.08231966197490692, 0.08130399882793427, 0.08090968430042267, 0.0804022029042244]"
V,20,"[0.08345005661249161, 0.20097516477108002, 0.3393231928348541, 0.3627743721008301, 0.4132905900478363, 0.38517799973487854, 0.332142174243927, 0.2932085692882538, 0.23438455164432526, 0.19847892224788666, 0.16177281737327576, 0.11585155129432678, 0.0963236391544342, 0.08689093589782715, 0.0837511420249939, 0.08277150243520737, 0.08136110752820969, 0.08057727664709091, 0.07995029538869858, 0.07948972284793854]"
V,25,"[0.08581321686506271, 0.21918268501758575, 0.3728942573070526, 0.36774498224258423, 0.3977084457874298, 0.3863189220428467, 0.30884405970573425, 0.2966301441192627, 0.21632833778858185, 0.19545015692710876, 0.15012021362781525, 0.12138551473617554, 0.09572499990463257, 0.08726244419813156, 0.08432420343160629, 0.08386561274528503, 0.08231047540903091, 0.0812242329120636, 0.08072293549776077, 0.08025138825178146]"
